
Name                                                       AppID                                                                                                                                 
Limpeza de Disco                                           {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cleanmgr.exe                                                                                   
Prompt de Comando                                          {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cmd.exe                                                                                        
Servi?os de Componentes                                    {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\comexp.msc                                                                                     
Desfragmentar e Otimizar Unidades                          {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\dfrgui.exe                                                                                     
Iniciador iSCSI                                            {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\iscsicpl.exe                                                                                   
Lupa                                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\magnify.exe                                                                                    
Diagn?stico de Mem?ria do Windows                          {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\MdSched.exe                                                                                    
Configura??o do Sistema                                    {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msconfig.exe                                                                                   
Informa??es do sistema                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msinfo32.exe                                                                                   
Paint                                                      {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\mspaint.exe                                                                                    
Narrador                                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\narrator.exe                                                                                   
Bloco de Notas                                             {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\notepad.exe                                                                                    
Fontes de Dados ODBC (64 bits)                             {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\odbcad32.exe                                                                                   
Teclado Virtual                                            {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\osk.exe                                                                                        
Gerenciamento de Impress?o                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\printmanagement.msc                                                                            
Gravador de Passos                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\psr.exe                                                                                        
Assist?ncia R?pida                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\quickassist.exe                                                                                
Unidade de Recupera??o                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RecoveryDrive.exe                                                                              
Servi?os                                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\services.msc                                                                                   
Ferramenta de Captura                                      {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\SnippingTool.exe                                                                               
Windows Defender Firewall com Seguran?a Avan?ada           {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc                                                                                         
Windows Fax and Scan                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WFS.exe                                                                                        
Windows PowerShell                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\powershell.exe                                                          
Windows PowerShell ISE                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\PowerShell_ISE.exe                                                      
Android Studio                                             {6D809377-6AF0-444B-8957-A3773F02200E}\Android\Android Studio\bin\studio64.exe                                                        
Bandicam                                                   {6D809377-6AF0-444B-8957-A3773F02200E}\Bandicam\bdcam.exe                                                                             
